FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1_1_Leiden	1_1_Leiden	-0.1499108	0.1232984	0.04246015	-0.03747903	0.02261377	0.005759295	-0.0006123179	-0.02832752	-0.007152702	-0.005366064
1_215284670	1_215284670	-0.1659653	0.1387515	0.04379998	-0.04060681	0.01416871	0.003040859	-0.000606591	-0.02864047	-0.01120083	-0.009583589
2_2_Leiden	2_2_Leiden	-0.1508637	0.1218675	0.04231847	-0.03824917	0.01983254	0.003457988	0.0008364678	-0.02295476	-0.008707906	-0.005825408
2_215294580	2_215294580	-0.1666049	0.1414629	0.04754067	-0.04489646	0.01148015	0.004503722	0.001934559	-0.0231925	-0.006986771	-0.007374976
3_3_Leiden	3_3_Leiden	-0.02932014	-0.1273216	0.02191547	-0.03158797	0.004082291	0.02612529	-0.001779692	-0.001521559	0.001931424	-0.00454516
3_215293140	3_215293140	-0.1618116	0.1374356	0.04522222	-0.04050695	0.01364624	0.005494434	0.001683741	-0.02619468	-0.01130585	-0.009280073
4_4_Leiden	4_4_Leiden	-0.1533962	0.1287337	0.04485271	-0.04285963	0.02582822	0.002459416	-0.001942091	-0.0225539	-0.01104481	-0.006112616
4_215298790	4_215298790	-0.1629414	0.1373655	0.04639118	-0.04304641	0.00785308	0.0003869334	0.002003186	-0.02843196	-0.01289611	-0.009429944
5_5_Leiden	5_5_Leiden	-0.1474246	0.1198699	0.0391034	-0.04149688	0.01745869	0.002661039	-0.002174169	-0.02533944	-0.01157841	-0.005978046
5_215292000	5_215292000	-0.164654	0.1388421	0.04675582	-0.0418888	0.01704747	0.002435936	-0.000937155	-0.0295158	-0.008406882	-0.009223456
6_6_Leiden	6_6_Leiden	-0.1432909	0.1165553	0.04270612	-0.03992835	0.01432639	0.002655596	0.001193482	-0.01845367	-0.006044133	-0.004321725
7_7_Leiden	7_7_Leiden	-0.153708	0.129716	0.04569408	-0.04346277	0.02187193	0.003603097	-0.003584467	-0.03302663	-0.01287144	-0.007444397
7_215287180	7_215287180	-0.1680793	0.1368533	0.04773877	-0.04101364	0.01724927	0.002107801	-0.002039511	-0.02776903	-0.009834273	-0.009727745
8_8_Leiden	8_8_Leiden	-0.1523906	0.1219609	0.044302	-0.04303337	0.01908567	0.003512037	-0.002153243	-0.02280512	-0.007431703	-0.007623594
8_1031474530	8_1031474530	-0.156777	0.1306396	0.03760844	-0.03931183	0.01920447	0.004320847	0.0009281984	-0.01270243	-0.006338362	-0.003536637
9_215293300	9_215293300	-0.169253	0.1401853	0.03951409	-0.04012531	0.01732249	-0.0001859035	-0.001381407	-0.03063297	-0.01185294	-0.009629796
10_10_Leiden	10_10_Leiden	-0.1532963	0.1331796	0.04328359	-0.04331531	0.02804514	0.006623126	-0.00031395	-0.02699316	-0.01433093	-0.005790583
10_1130820744	10_1130820744	-0.146944	0.1281183	0.0339762	-0.04110314	0.001512285	0.004919699	0.0004707313	-0.01243791	-0.007696179	-0.002600581
