FID	IID	U1	U2	U3	U4	U5	U6	U7	U8	U9	U10
0	HG00096	-0.009713871	0.02784129	-0.01270754	-0.01836272	0.012165	0.004996826	-0.00107351	-0.0008842961	0.003397052	-0.05521924
0	HG00097	-0.01018627	0.02776582	-0.01235573	-0.01611533	0.009706351	0.001677513	-0.002469959	-0.004208595	-0.004012713	-0.04963019
0	HG00099	-0.01017573	0.02796412	-0.01363058	-0.01530441	0.0157963	0.004560254	-0.0006901127	-0.007384461	-0.008734253	-0.05638053
0	HG00100	-0.00915701	0.02887994	-0.01258591	-0.01597344	0.006123879	0.007100031	0.002228266	-0.00366087	-0.01225643	-0.06809695
0	HG00101	-0.01006255	0.02776329	-0.01337434	-0.01612391	0.006953488	0.002142779	0.001012037	-0.003825082	-0.001776241	-0.05612112
0	HG00102	-0.01024339	0.02784839	-0.01173994	-0.0153574	0.01911197	-0.0002932277	0.003294342	-0.007637446	0.0004453372	-0.06533005
0	HG00103	-0.009896508	0.02846865	-0.01190368	-0.01842794	0.009396768	-0.001021752	0.000193915	-0.002662256	-0.008547992	-0.04312918
0	HG00105	-0.009652594	0.02781243	-0.01369219	-0.01693403	0.009928408	0.00343823	0.0008287665	-0.007143455	-0.01080679	-0.04798606
0	HG00106	-0.01063432	0.02762106	-0.01161974	-0.01599296	0.01446312	0.00642647	-0.002088946	-0.007232952	-0.009452348	-0.05163809
0	HG00107	-0.01011718	0.02785547	-0.01362534	-0.01728329	0.01323688	0.00601298	0.001569978	-0.001519008	-0.0123603	-0.05060328
0	HG00108	-0.009797879	0.02756756	-0.01354018	-0.01649881	0.0122199	0.003360094	-0.001410625	-0.003490134	-0.008003507	-0.05302018
0	HG00109	-0.01006396	0.02754576	-0.01393718	-0.01936939	0.01106999	0.0005937472	-0.0008500887	-0.006917461	-0.009249162	-0.05667545
0	HG00110	-0.009985558	0.02762399	-0.0116897	-0.01715324	0.01250381	0.003006333	-0.003657207	-0.005415426	-0.01041923	-0.06041615
0	HG00111	-0.009376515	0.02811607	-0.01153587	-0.01661559	0.01591602	0.004529228	0.001777775	-0.006164785	-0.005920954	-0.05383309
0	HG00112	-0.01029262	0.02813417	-0.0121429	-0.01703183	0.01000402	0.002781556	0.0001096085	0.0009702806	0.00104195	-0.05320848
0	HG00113	-0.01015934	0.02761229	-0.01201264	-0.01785784	0.006690356	0.002504248	0.001242138	-0.006796787	-0.008980998	-0.06318525
0	HG00114	-0.00991869	0.02806155	-0.01260167	-0.01795382	0.01407812	-0.002062782	0.001168896	-0.007002043	-0.001278659	-0.073656
0	HG00115	-0.009643452	0.0289066	-0.01226465	-0.01712845	0.006361568	0.00433215	-0.004453633	-0.002964547	-0.01408919	-0.04242154
