FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
0	HG00096	-0.08732404	0.2089759	-0.06174607	-0.07563134	0.02556	0.009493331	-0.002019589	-0.001489933	0.00510519	-0.08036246
0	HG00097	-0.09157073	0.2084094	-0.06003663	-0.0663749	0.02039411	0.003187061	-0.004646721	-0.00709098	-0.006030424	-0.07222852
0	HG00099	-0.09147598	0.2098978	-0.06623114	-0.06303491	0.03318976	0.008663901	-0.001298305	-0.01244193	-0.01312609	-0.08205252
0	HG00100	-0.08231807	0.216772	-0.06115506	-0.06579048	0.01286694	0.01348915	0.004192024	-0.006168129	-0.01841933	-0.09910382
0	HG00101	-0.09045851	0.2083904	-0.06498606	-0.06641025	0.01461004	0.004071006	0.00190394	-0.006444806	-0.002669388	-0.08167499
0	HG00102	-0.0920842	0.2090291	-0.05704447	-0.06325317	0.04015635	-0.0005570953	0.006197627	-0.01286818	0.000669266	-0.09507706
0	HG00103	-0.08896588	0.2136848	-0.0578401	-0.07589996	0.01974364	-0.001941198	0.0003648113	-0.004485584	-0.01284617	-0.06276738
0	HG00105	-0.08677318	0.2087592	-0.0665305	-0.06974694	0.02086067	0.006532199	0.001559154	-0.01203587	-0.01624077	-0.06983576
0	HG00106	-0.0955985	0.2073228	-0.05646044	-0.06587087	0.0303886	0.01220947	-0.003929923	-0.01218666	-0.01420527	-0.07515068
0	HG00107	-0.09094963	0.2090823	-0.06620565	-0.07118543	0.02781213	0.0114239	0.002953591	-0.002559347	-0.01857542	-0.07364468
0	HG00108	-0.08807924	0.2069213	-0.06579185	-0.06795437	0.02567535	0.00638375	-0.002653801	-0.005880459	-0.01202791	-0.07716208
0	HG00109	-0.09047119	0.2067576	-0.06772087	-0.07977754	0.02325927	0.001128044	-0.001599267	-0.0116551	-0.01389991	-0.08248172
0	HG00110	-0.08976641	0.2073448	-0.05680035	-0.07064978	0.02627187	0.00571165	-0.006880285	-0.009124346	-0.01565833	-0.08792569
0	HG00111	-0.08429134	0.2110384	-0.05605292	-0.06843533	0.03344131	0.008604956	0.003344518	-0.01038693	-0.008898184	-0.07834515
0	HG00112	-0.09252681	0.2111742	-0.05900246	-0.07014972	0.02101954	0.005284601	0.0002062058	0.001634807	0.001565874	-0.07743613
0	HG00113	-0.09132867	0.207257	-0.05836953	-0.07355186	0.01405717	0.004757751	0.002336828	-0.01145177	-0.01349691	-0.09195566
0	HG00114	-0.08916529	0.2106291	-0.06123163	-0.07394719	0.02957967	-0.003919023	0.002199039	-0.01179761	-0.001921606	-0.1071941
0	HG00115	-0.086691	0.216972	-0.05959407	-0.07054769	0.01336635	0.008230533	-0.008378596	-0.004994908	-0.02117365	-0.06173752
0	HG00116	-0.09058846	0.2137845	-0.06270443	-0.06529785	0.02283211	0.004968239	-0.005699567	-0.003147693	-0.02128933	-0.1183177
0	HG00117	-0.09049307	0.2117936	-0.06034664	-0.06615941	0.03209912	0.006862504	0.001454747	0.0008846054	0.004085591	-0.08319911
0	HG00118	-0.09067182	0.2119567	-0.06362766	-0.06027238	0.02073109	0.0123223	0.009063041	-0.009711934	-0.01471299	-0.08938913
0	HG00119	-0.09188829	0.2117936	-0.06001626	-0.07048536	0.02635078	0.01495707	0.0004731892	-0.0006453701	-0.003297167	-0.07722116
0	HG00120	-0.09263251	0.2162146	-0.06698874	-0.0757239	0.03835012	0.004869359	-0.001555586	-0.0104063	-0.01658648	-0.1342681
0	HG00121	-0.090724	0.2136474	-0.05827876	-0.06645518	0.03992608	0.00714044	0.002816188	-0.006372738	-0.00758369	-0.09201416
0	HG00122	-0.09021539	0.2138985	-0.06797922	-0.0656246	0.03292872	0.01225194	-0.001776586	-0.008822177	-0.02365752	-0.05725635
0	HG00123	-0.09155021	0.2132167	-0.05105907	-0.06508346	0.02879298	0.0005482862	0.0003737711	-3.738534e-05	-0.0220583	-0.08961866
0	HG00125	-0.08603414	0.2045776	-0.06363017	-0.07366712	0.04113133	0.006292911	-0.001222847	-0.00854455	-0.01786966	-0.07967939
0	HG00126	-0.0889267	0.2169176	-0.06258304	-0.06612955	0.02091875	0.002813058	-0.002879019	-0.007088618	-0.002619049	-0.0651288
0	HG00127	-0.09281554	0.2046186	-0.05619372	-0.06542902	0.01467885	0.004640058	-0.005790845	-0.01284438	-0.008961641	-0.06312867
0	HG00128	-0.08262357	0.2172532	-0.05607507	-0.07186825	0.01350408	0.01282012	0.0002872346	-0.005006145	-0.0140842	-0.05494187
0	HG00129	-0.09244575	0.2086846	-0.06766337	-0.06786486	0.02065298	-0.005679622	-0.01028279	-0.008298903	-0.01010152	-0.05542424
0	HG00130	-0.08334103	0.2122869	-0.06189788	-0.0731188	0.004174623	-0.005346994	0.0001877326	-0.003053426	0.00520141	-0.0578497
0	HG00131	-0.08634621	0.2148176	-0.05637193	-0.0720734	0.01394934	0.007057066	-0.003736711	-0.001568134	-0.003000512	-0.06995292
0	HG00132	-0.08699771	0.2136717	-0.05366833	-0.07383975	0.005978157	-0.001315377	-0.0051137	-0.009535629	-0.01729527	-0.07825496
0	HG00133	-0.0892039	0.2144343	-0.05741509	-0.06909063	0.01300167	0.00628306	-0.005828484	-0.007526544	0.002713901	-0.06407547
0	HG00136	-0.085737	0.2061444	-0.06667827	-0.07269204	0.03069899	0.01042083	0.008753673	-0.003350699	-0.01697784	-0.04128971
0	HG00137	-0.08951012	0.2108655	-0.06312807	-0.06836354	0.01149604	-0.001118786	0.00653504	-0.003118318	-0.004891313	-0.08120749
0	HG00138	-0.08887001	0.2120436	-0.06431451	-0.06918454	0.01954538	0.0016822	0.002363425	-0.01376451	-0.0174427	-0.05035489
0	HG00139	-0.08734758	0.2154936	-0.06073632	-0.07131329	0.01474446	0.00497292	0.005903497	-0.006552297	-0.008195567	-0.06838567
0	HG00140	-0.09113248	0.2105585	-0.06187384	-0.06962863	0.0206149	-0.003613257	0.001203173	-0.002736884	-0.01001859	-0.06842866
0	HG00141	-0.09159054	0.2089406	-0.05397886	-0.06030828	0.0216236	0.01027058	0.002271722	-0.005220942	-0.01013831	-0.03668733
0	HG00142	-0.0866661	0.214937	-0.05912086	-0.07071096	0.01383144	-0.002756932	-0.002462596	-0.007176556	-0.002863808	-0.0324719
0	HG00143	-0.08931924	0.2156549	-0.06259602	-0.0629988	0.01822852	0.001492087	-0.0006240211	-0.003243362	-0.01293696	-0.051125
0	HG00145	-0.08661448	0.2053367	-0.05785737	-0.06440768	0.009386547	0.01073166	0.003054852	-0.002809361	-0.005915807	-0.07560911
0	HG00146	-0.09017807	0.214639	-0.06843163	-0.07648394	0.003903316	0.01428003	0.004306691	-0.009972564	-0.007029071	-0.06510217
0	HG00148	-0.08847006	0.2140565	-0.06801676	-0.0720552	0.02281921	0.004634278	0.0007835734	-0.01202851	-0.00696684	-0.08668124
0	HG00149	-0.09243514	0.2154488	-0.0706416	-0.06958217	0.02046519	0.01411629	-0.001039721	-0.0116635	-0.01309579	-0.0460681
0	HG00150	-0.09030935	0.208147	-0.05987216	-0.0653425	0.0212351	0.003276489	0.004129835	-0.007330183	-0.001655283	-0.06243156
0	HG00151	-0.08712966	0.2109658	-0.06326818	-0.06932469	0.01813219	0.009288994	-0.00028519	-0.0005421645	0.004774524	-0.05774455
0	HG00154	-0.08704515	0.2183354	-0.06591626	-0.07288262	0.01685952	-0.00424228	-0.001945089	0.002167291	-0.02236517	-0.03189601
0	HG00155	-0.08971961	0.2044028	-0.06727882	-0.06222443	0.02474872	0.01008946	-4.865678e-05	-0.006923099	-0.01580339	-0.05966013
0	HG00157	-0.08764239	0.2076478	-0.06856133	-0.06883543	0.03144672	0.007867804	0.001157861	-0.003078215	-0.007356351	-0.06426291
0	HG00158	-0.08667917	0.206363	-0.06444158	-0.06391077	0.01760394	0.002048432	-0.003486599	-0.00507002	-0.001398688	-0.07051238
0	HG00159	-0.08939982	0.2104726	-0.06317733	-0.06437104	0.01268812	-0.0008439599	-0.001653749	-0.00167553	-0.01546471	-0.06214448
0	HG00160	-0.09364112	0.211593	-0.06209778	-0.06777699	0.02789598	0.008339273	-0.002884696	-0.002567557	-0.01691557	-0.06531893
0	HG00171	-0.1075041	0.1787562	-0.07440434	-0.05945596	0.1857443	0.009782882	0.000316204	0.01652285	0.01171544	0.07104143
0	HG00173	-0.1049177	0.1771831	-0.07073953	-0.05884262	0.1833197	0.01399786	0.01073065	0.0186213	0.01222249	0.05671596
0	HG00174	-0.09720188	0.1892942	-0.07445308	-0.06799016	0.1412804	0.006753559	0.008375284	0.00979332	0.00780099	0.04677564
0	HG00176	-0.09664399	0.1764079	-0.07115885	-0.06206115	0.1600645	0.005958379	0.007057603	0.01939882	0.01205549	0.04307887
0	HG00177	-0.09572036	0.1698796	-0.06881664	-0.05956875	0.1815635	0.009387895	0.01532802	0.02122664	0.007815754	0.06618663
0	HG00178	-0.09786874	0.1818509	-0.06101066	-0.06393676	0.1697372	0.003280528	0.006265869	0.01438123	0.005184814	0.04678329
0	HG00179	-0.09775743	0.1745459	-0.06554364	-0.05511028	0.1746782	0.0135142	0.001735666	0.02127568	0.01409835	0.03790095
0	HG00180	-0.1000694	0.1742216	-0.06318093	-0.05860685	0.1591091	0.01311912	0.004545854	0.01434525	0.004344492	0.03670587
0	HG00181	-0.08770336	0.1854584	-0.05332273	-0.06861534	0.09569433	-0.0004684449	-0.0004909769	0.01014133	0.0058201	0.05401444
0	HG00182	-0.09471658	0.1781464	-0.07211395	-0.05564983	0.1740467	0.01732381	0.006935924	0.01392544	-0.005561063	0.05184335
0	HG00183	-0.1054493	0.1732128	-0.06301406	-0.05954001	0.1793778	0.01393041	0.005091336	0.01093702	0.007034727	0.05164724
0	HG00185	-0.09857086	0.1735863	-0.06403339	-0.06794254	0.1847303	0.01521341	0.002204201	0.01790887	0.009749656	0.05682609
0	HG00186	-0.09828054	0.1807335	-0.06728746	-0.05643903	0.1833704	0.01659154	0.009476038	0.02182755	0.02327615	0.07759172
0	HG00187	-0.09849592	0.1748695	-0.07543931	-0.06046392	0.1939871	0.01479983	0.002663241	0.02441674	0.01896296	0.07813637
0	HG00188	-0.09758076	0.1849328	-0.05947188	-0.05640492	0.1629964	0.00636292	0.002111836	0.01222777	0.007708589	0.05577309
0	HG00189	-0.09542853	0.1751443	-0.06772747	-0.05780317	0.1484307	0.01543961	0.004551016	0.01115563	0.006915924	0.05008451
0	HG00190	-0.09384544	0.1872467	-0.06708957	-0.06072668	0.1381588	0.01835468	0.00706832	0.00132862	-0.003564973	0.01683437
0	HG00231	-0.09294203	0.2038699	-0.05872443	-0.06272621	0.0189709	0.0009195117	-3.956968e-05	-0.01561452	-0.003467506	-0.06716713
0	HG00232	-0.08846995	0.2126417	-0.05667159	-0.06172339	0.01654683	0.002040196	-0.000838965	-0.01090597	-0.01729199	-0.07769925
0	HG00233	-0.08501652	0.2153732	-0.06032182	-0.07152418	0.01087589	0.005160659	0.004094394	-0.009496683	-0.00424156	-0.05876778
0	HG00234	-0.09041113	0.2107574	-0.05987079	-0.07079509	0.021266	0.003937277	0.001249953	-0.006558504	-0.01270213	-0.05641503
0	HG00235	-0.08940145	0.2104026	-0.05951003	-0.07281736	0.01517365	0.009265678	0.007301825	-0.008339545	-0.003202648	-0.06853556
0	HG00236	-0.08445222	0.2154844	-0.06780124	-0.07668756	0.01877597	-0.001741368	0.005578848	-0.002529186	-0.01055731	-0.06274278
0	HG00237	-0.0910059	0.209289	-0.05938391	-0.0674525	0.01748334	0.007189684	-0.001111984	-0.008502361	-0.003852392	-0.06498801
0	HG00238	-0.08702897	0.2110691	-0.06137488	-0.06630373	0.008994759	0.002275038	0.002058048	-0.01380008	-0.007120089	-0.07415611
0	HG00239	-0.08557082	0.2141283	-0.0596653	-0.07167944	0.02643216	-0.001825456	0.006255067	-0.00965914	-0.001222955	-0.05974154
0	HG00240	-0.09224885	0.216517	-0.05750334	-0.06879891	0.01085292	0.01091181	0.004015132	-0.008134561	-0.01737631	-0.07600163
0	HG00242	-0.08614569	0.2089911	-0.06503618	-0.06321085	0.01240715	0.009381748	0.006628478	-0.003111833	-0.01115066	-0.05899913
0	HG00243	-0.09121535	0.2141578	-0.06313073	-0.06420737	0.01463227	0.004960299	-0.001791643	-0.01022937	-0.006469331	-0.05772377
0	HG00244	-0.08899442	0.2146848	-0.06484115	-0.06442803	0.002529795	0.005546426	0.0011293	-0.01252011	0.006065444	-0.04894086
0	HG00245	-0.08532373	0.2087095	-0.06262637	-0.07051376	0.0130943	0.006222522	-0.002333682	-0.009405152	-0.01248295	-0.05676661
0	HG00246	-0.08953921	0.2075648	-0.05893297	-0.0607284	0.01088955	0.001183021	-0.00231817	-0.009456919	-0.005347683	-0.04867266
0	HG00250	-0.09123434	0.2071802	-0.0550552	-0.06239369	0.009619458	0.004226864	0.005281114	-0.01024611	-0.009489166	-0.06249557
0	HG00251	-0.08926068	0.2137089	-0.05213542	-0.05903789	0.003715822	0.001217467	0.003726186	-0.01193354	-0.01104653	-0.08170094
0	HG00252	-0.09063105	0.2112991	-0.064767	-0.07430345	0.02124111	0.005649651	-0.0004410072	-0.005926138	-0.01047782	-0.04626135
0	HG00253	-0.08729503	0.212756	-0.06220157	-0.07099238	0.00743083	-0.003313396	-0.003896819	-0.005463688	-0.01434636	-0.06271275
0	HG00254	-0.08724515	0.2134636	-0.06335882	-0.06575834	0.007412009	0.01187923	-0.00279085	-0.005212081	-0.007290167	-0.07145736
0	HG00255	-0.0880353	0.2116179	-0.06444574	-0.06790124	0.01011257	0.01285436	0.008626947	-0.01021061	-0.006072206	-0.06850899
0	HG00256	-0.09356442	0.2120761	-0.06680782	-0.0705394	0.0184701	0.0015638	-0.008508833	-0.0118738	0.0005053476	-0.06534817
0	HG00257	-0.08543297	0.2165081	-0.05669418	-0.06182529	0.01368163	0.001949375	-0.002296382	-0.008777729	0.0006357938	-0.06915366
0	HG00258	-0.08717378	0.2104728	-0.06956124	-0.0760759	0.01549481	0.006747973	0.001552411	-0.009428912	-0.01335111	-0.04550289
