FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1_1_Leiden	1_1_Leiden	0.02037709	0.2319724	0.01174295	-0.02768039	-0.01344785	-0.01010571	0.02151543	0.03082323	-0.004754534	-0.01255215
1_215284670	1_215284670	0.02398606	0.2332482	0.007698064	-0.02435558	-0.01269114	-0.01149784	0.02088026	0.0368373	-0.006017467	-0.01119746
2_2_Leiden	2_2_Leiden	0.02309546	0.2241059	0.008628975	-0.02738825	-0.009272849	-0.009264739	0.02109644	0.03467957	-0.01153103	-0.01267445
2_215294580	2_215294580	0.02437034	0.22972	0.001784184	-0.03020539	-0.01101748	-0.01137198	0.02244319	0.03674478	-0.007199098	-0.008276235
3_3_Leiden	3_3_Leiden	0.01793503	0.2119878	0.005493098	-0.02618793	-0.01340912	-0.01119167	0.01905892	0.0331218	-0.003757712	-0.006512916
3_215293140	3_215293140	0.02342707	0.2296512	0.009285722	-0.03276048	-0.00971477	-0.009365579	0.02195592	0.03201352	-0.002380305	-0.00710482
4_4_Leiden	4_4_Leiden	0.02764784	0.2335189	0.004615305	-0.02444848	-0.00867044	-0.01415623	0.02121029	0.03341434	-0.009013427	-0.002827597
4_215298790	4_215298790	0.02210207	0.2338747	0.005788354	-0.02572375	-0.008088764	-0.009305545	0.02053117	0.03124168	-0.007657241	-0.01345968
5_5_Leiden	5_5_Leiden	0.02321138	0.2298941	0.007764593	-0.02830297	-0.0105791	-0.01710944	0.01734838	0.03503192	-0.007512876	-0.01061776
5_215292000	5_215292000	0.02979874	0.2371152	0.00848174	-0.02802453	-0.008506907	-0.010346	0.02151024	0.03813754	-0.005485751	-0.009716116
6_6_Leiden	6_6_Leiden	0.02418505	0.2288474	0.004266388	-0.02850929	-0.01063117	-0.01513659	0.01608089	0.03889307	-0.01064091	-0.00122136
7_7_Leiden	7_7_Leiden	0.02585339	0.2302378	0.008800703	-0.02587463	-0.009225217	-0.01544398	0.02025051	0.03746612	-0.009174833	-0.01185232
7_215287180	7_215287180	0.02808601	0.2244935	0.005899474	-0.02776176	-0.01218739	-0.01374664	0.02113226	0.03237045	-0.004698655	-0.006195735
8_8_Leiden	8_8_Leiden	0.02144125	0.225554	0.004448631	-0.02590761	-0.00481834	-0.01318863	0.02344697	0.03439254	-0.009386922	-0.009286696
8_1031474530	8_1031474530	0.02388232	0.2284637	0.004549217	-0.02807943	-0.005455238	-0.01237652	0.01757719	0.03598389	-0.008352989	-0.007210611
9_215293300	9_215293300	0.02772709	0.2325138	0.008889075	-0.03033802	-0.01159208	-0.01183482	0.02200536	0.03084927	-0.007750314	-0.01543149
10_10_Leiden	10_10_Leiden	0.02499162	0.2315645	0.005949989	-0.02748003	-0.01156798	-0.01252943	0.02194867	0.03081209	-0.003733896	-0.00891959
10_1130820744	10_1130820744	0.02421461	0.2286017	0.009610632	-0.02745558	-0.005656489	-0.01067562	0.02629826	0.03112946	-0.00437716	-0.01219819
11_11_Leiden	11_11_Leiden	0.02349193	0.2283341	0.00821322	-0.02505814	-0.006601062	-0.0162546	0.02229391	0.03247274	-0.006452936	-0.01019541
11_1150205671	11_1150205671	0.02373431	0.2331513	0.007037067	-0.02391195	-0.009444225	-0.009325142	0.02300314	0.03614283	-0.003509066	-0.01029016
12_12_Leiden	12_12_Leiden	0.02588794	0.2278482	0.004618814	-0.02760162	-0.01391274	-0.00955268	0.01767639	0.03562115	-0.006820929	-0.01083284
12_1089786441	12_1089786441	0.02323595	0.2293679	0.004524834	-0.02640668	-0.004617887	-0.01108132	0.01873203	0.03309594	-0.007966542	-0.01111585
13_13_Leiden	13_13_Leiden	0.02173068	0.2243908	0.01144972	-0.025926	-0.01175658	-0.01332251	0.02377166	0.03547509	-0.006840151	-0.01297924
13_1054520027	13_1054520027	0.02920605	0.2309566	0.003838008	-0.0234733	-0.01265505	-0.0118733	0.0226979	0.03565199	-0.007684181	-0.006665391
14_14_Leiden	14_14_Leiden	0.02594199	0.2286367	0.005112707	-0.02302548	-0.009927609	-0.01226548	0.02022898	0.03008955	-0.01203333	-0.0109812
14_ARC770	14_ARC770	0.02529348	0.2303964	0.004472219	-0.02526822	-0.008287697	-0.01349634	0.02313356	0.03055853	-0.008036998	-0.0117657
15_15_Leiden	15_15_Leiden	0.02630328	0.2260323	0.006745321	-0.02947102	-0.01021004	-0.009749842	0.02370705	0.03587844	-0.008097376	-0.007537138
15_EA3704	15_EA3704	0.02418404	0.2343025	0.008533156	-0.02558696	-0.01289087	-0.01253204	0.02271782	0.03177414	-0.007350722	-0.01327319
16_16_Leiden	16_16_Leiden	0.01870093	0.2198168	0.009369353	-0.02601111	-0.001135497	-0.01382879	0.01845853	0.03316337	-0.006096872	-0.01169304
16_ARC536	16_ARC536	0.02545568	0.2255328	0.006555782	-0.02675079	-0.01272748	-0.0123466	0.01664297	0.03167805	-0.009199411	-0.008274481
17_17_Leiden	17_17_Leiden	0.02318835	0.231649	0.00843903	-0.02997045	-0.00865443	-0.01365911	0.02250053	0.03816788	-0.008439999	-0.01299427
17_577	17_577	0.02488787	0.2351446	0.008722981	-0.02558634	-0.007490199	-0.01315523	0.02599299	0.03323715	-0.009230191	-0.009763696
18_18_Leiden	18_18_Leiden	0.02708119	0.224715	0.007573705	-0.02550021	-0.01078239	-0.00902988	0.01905455	0.03267259	-0.01017798	-0.009060897
18_769	18_769	0.02387611	0.2331176	0.008916537	-0.02577783	-0.008077754	-0.01124093	0.02072837	0.03113641	-0.006996329	-0.01322066
19_19_Leiden	19_19_Leiden	0.02033993	0.2162797	0.009025053	-0.02472054	-0.006294319	-0.01292952	0.02282479	0.03126801	-0.008336005	-0.006689597
19_865	19_865	0.02716115	0.2302904	0.007996399	-0.0292428	-0.008058955	-0.01158199	0.02117404	0.03437235	-0.00641647	-0.007182297
20_20_Leiden	20_20_Leiden	0.02622325	0.2273107	0.007573716	-0.02418536	-0.005129578	-0.01125994	0.02004791	0.03248004	-0.007335278	-0.00747107
20_673	20_673	0.02580188	0.2301848	0.007303403	-0.02934556	-0.01218086	-0.0104646	0.02240241	0.02984587	-0.00728244	-0.01091963
21_21_Leiden	21_21_Leiden	0.02419845	0.2265445	0.005832252	-0.0256136	-0.01012989	-0.0128103	0.02407593	0.03164861	-0.01572941	-0.008675608
21_385	21_385	0.02586938	0.2324629	0.009252928	-0.02746018	-0.01322442	-0.009945872	0.02207714	0.02935185	-0.01075814	-0.00942069
22_22_Leiden	22_22_Leiden	0.02525632	0.22923	0.00462657	-0.02983942	-0.006567503	-0.01638419	0.01799616	0.03989248	-0.007608983	-0.01475229
22_481	22_481	0.02494941	0.2356707	0.007164244	-0.02655291	-0.01193631	-0.01236452	0.02057536	0.0368223	-0.009403114	-0.008524168
23_23_Leiden	23_23_Leiden	0.01959212	0.2190691	0.01094882	-0.02325732	-0.01496511	-0.009017804	0.01847362	0.03038845	-0.007321014	-0.003762266
23_289	23_289	0.0259083	0.2284543	0.005165756	-0.02532238	-0.008857733	-0.01378446	0.02147474	0.03608652	-0.008408967	-0.01185293
24_1	24_1	0.02552154	0.2275509	0.0094909	-0.02712143	-0.006881684	-0.01287065	0.02088828	0.03302286	-0.01302452	-0.007602468
25_25_Leiden	25_25_Leiden	0.02364407	0.2285806	0.006438054	-0.02585688	-0.009489949	-0.01358343	0.02077338	0.03248651	-0.0008827805	-0.009886465
25_97	25_97	0.02565589	0.2309346	0.01055161	-0.02674659	-0.0109966	-0.01623684	0.02154601	0.03201532	-0.006982308	-0.006085814
26_26_Leiden	26_26_Leiden	0.02566479	0.2323719	0.006340944	-0.03291681	-0.01187362	-0.008630895	0.01850513	0.03319883	-0.004318289	-0.01190598
26_193	26_193	0.02873947	0.2291925	0.007915376	-0.02469236	-0.008519126	-0.01489074	0.02627433	0.02869029	-0.007391462	-0.009017868
27_27_Leiden	27_27_Leiden	0.02994944	0.2274747	0.009624771	-0.02713142	-0.0133836	-0.01108784	0.01851955	0.03711674	-0.005951137	-0.005136069
27_215284230	27_215284230	0.02716598	0.2341466	0.004166936	-0.02626096	-0.01133947	-0.0123797	0.01784471	0.03291768	-0.001661993	-0.01341317
28_28_Leiden	28_28_Leiden	0.02658727	0.2269108	0.006498198	-0.02330137	-0.01280116	-0.01270845	0.01850273	0.03437727	-0.006684345	-0.00908964
28_215285150	28_215285150	0.02379372	0.2332418	0.006197148	-0.02308335	-0.01210859	-0.01550843	0.0239045	0.02998568	-0.006435789	-0.011813
29_29_Leiden	29_29_Leiden	0.02512756	0.2317041	0.006546412	-0.02680464	-0.01106659	-0.01384759	0.02103851	0.03332028	-0.006138337	-0.006502026
29_215287490	29_215287490	0.02859088	0.2286239	0.0079864	-0.02709592	-0.01000366	-0.009380327	0.0181528	0.03305245	-0.005898969	-0.003958676
30_30_Leiden	30_30_Leiden	0.02543442	0.229233	0.005415361	-0.02556089	-0.01443302	-0.01472997	0.02031859	0.03264596	-0.003775432	-0.01788583
30_215294480	30_215294480	0.02514443	0.2326859	0.007633847	-0.02915983	-0.01032873	-0.01289622	0.02326402	0.03003802	-0.01306986	-0.009867481
31_31_Leiden	31_31_Leiden	0.02609937	0.2255843	0.006221159	-0.02730659	-0.008662791	-0.01523765	0.0194643	0.03740954	-0.01123299	-0.006612188
31_215298240	31_215298240	0.02792013	0.2337932	0.009173958	-0.02828156	-0.01223644	-0.01380856	0.02094751	0.03418348	-0.01111706	-0.006655494
32_32_Leiden	32_32_Leiden	0.02696173	0.2284363	0.004664218	-0.02788126	-0.01138367	-0.009786424	0.02332425	0.03302446	-0.005094984	-0.009134824
32_215297990	32_215297990	0.02466901	0.2340583	0.0127972	-0.02743954	-0.008278171	-0.008325719	0.02406486	0.03015553	-0.007560431	-0.0122175
33_33_Leiden	33_33_Leiden	0.02743467	0.2305094	0.008690086	-0.02625776	-0.01000185	-0.016868	0.02120168	0.03327774	-0.01423778	-0.006827353
33_215292240	33_215292240	0.02777539	0.2344481	0.009861949	-0.02767733	-0.01603753	-0.01420544	0.02277546	0.03594097	-0.008645302	-0.01214092
34_34_Leiden	34_34_Leiden	0.02454751	0.2321222	0.007804316	-0.02575139	-0.005244576	-0.01195002	0.02003636	0.03165739	-0.005745878	-0.0132184
34_1153944726	34_1153944726	0.02785298	0.2303795	0.009761937	-0.02509792	-0.01127907	-0.0140453	0.02189685	0.0281839	-0.01179626	-0.01338703
35_35_Leiden	35_35_Leiden	0.02814924	0.2314654	0.007900526	-0.02951512	-0.005289844	-0.009159899	0.01786275	0.03554475	-0.009586562	-0.005902982
35_1085418072	35_1085418072	0.02337321	0.2234804	0.00555569	-0.02853139	-0.005161809	-0.01132726	0.01969254	0.03519236	-0.007902578	-0.01149968
36_36_Leiden	36_36_Leiden	0.02660044	0.2304437	0.01022803	-0.02554069	-0.01077	-0.01464185	0.02222633	0.03476556	-0.006122531	-0.003905152
36_1150149212	36_1150149212	0.027527	0.2358545	0.00820964	-0.02812373	-0.01578345	-0.01264239	0.02560474	0.0370947	-0.007194291	-0.01464341
37_1125322107	37_1125322107	0.0233035	0.2301382	0.009972282	-0.02230575	-0.009463957	-0.01424	0.01936209	0.03026281	-0.007224801	-0.007039188
