GENE       CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
148398       1     824993     889961     78      15  4338       1.9432     0.025998        0.020545        0.056389
339451       1     860967     911099     85      16  4338       1.0455       0.1479         0.27773        0.088994
84069        1     866872     920488    102      20  4338      0.80419      0.21064         0.43286          0.1078
26155        1     869583     929679    105      19  4338      0.73586      0.23091         0.49324         0.11115
84808        1     900579     952473     79      18  4338     -0.42233      0.66361         0.48826         0.78344
9636         1     913847     959920     73      14  4338     -0.32266      0.62652         0.48041         0.69918
375790       1     920503    1001499    133      21  4338       1.6348     0.051046         0.12892        0.038304
57801        1     924342     971608     60      13  4338      0.40505      0.34272         0.36432         0.30271
401934       1     997126    1044687    108      17  4338       2.5764    0.0049917        0.023002       0.0041944
54991        1    1007198    1086736    243      30  4338       2.1059     0.017609         0.16178       0.0044169
254173       1    1074286    1143315    209      29  4338    0.0068484      0.49727         0.31414         0.67891
8784         1    1128888    1177163    176      14  4338     -0.31662      0.62424         0.74843         0.45824
126792       1    1132629    1180421    176      14  4338      -1.2081      0.88649         0.81456         0.87686
7293         1    1136706    1184703    176      14  4338      -1.1838      0.88176         0.81456         0.86794
51150        1    1142288    1202447    216      18  4338      -1.4581       0.9276         0.86256         0.91198
388581       1    1167826    1217102    158      18  4338      -1.2772      0.89923         0.85311         0.87708
118424       1    1179292    1244234    183      22  4338     -0.65691      0.74438         0.89986         0.55666
6339         1    1180816    1237409    159      20  4338      -0.6042      0.72714         0.88148         0.53504
126789       1    1208962    1257057    123      18  4338     -0.51658      0.69728         0.92301         0.47749
116983       1    1217764    1278304    134      18  4338      0.29322      0.38468         0.76658         0.18543
80772        1    1225136    1274276    109      15  4338      0.42182      0.33658         0.71473         0.15463
83756        1    1231726    1279844    100      12  4338      0.59777        0.275         0.70327         0.10697
54973        1    1236965    1295067    124      12  4338      0.71884      0.23612         0.60523        0.092991
1855         1    1260658    1319509    190      15  4338      0.50493       0.3068         0.65887         0.13998
