Checking the headers and starting positions of 22 files
Concatenating EIRA_chr1_clean.recode.vcf	1428.140696 seconds
Concatenating EIRA_chr2_clean.recode.vcf	1436.857283 seconds
Concatenating EIRA_chr3_clean.recode.vcf	1220.451654 seconds
Concatenating EIRA_chr4_clean.recode.vcf	1277.172024 seconds
Concatenating EIRA_chr5_clean.recode.vcf	1143.003867 seconds
Concatenating EIRA_chr6_clean.recode.vcf	1065.562952 seconds
Concatenating EIRA_chr7_clean.recode.vcf	995.834162 seconds
Concatenating EIRA_chr8_clean.recode.vcf	903.001979 seconds
Concatenating EIRA_chr9_clean.recode.vcf	713.311832 seconds
Concatenating EIRA_chr10_clean.recode.vcf	847.604752 seconds
Concatenating EIRA_chr11_clean.recode.vcf	834.581312 seconds
Concatenating EIRA_chr12_clean.recode.vcf	794.401844 seconds
Concatenating EIRA_chr13_clean.recode.vcf	609.641180 seconds
Concatenating EIRA_chr14_clean.recode.vcf	549.162893 seconds
Concatenating EIRA_chr15_clean.recode.vcf	527.940233 seconds
Concatenating EIRA_chr16_clean.recode.vcf	575.487319 seconds
Concatenating EIRA_chr17_clean.recode.vcf	502.127986 seconds
Concatenating EIRA_chr18_clean.recode.vcf	500.256182 seconds
Concatenating EIRA_chr19_clean.recode.vcf	442.401897 seconds
Concatenating EIRA_chr20_clean.recode.vcf	417.287602 seconds
Concatenating EIRA_chr21_clean.recode.vcf	275.662682 seconds
Concatenating EIRA_chr22_clean.recode.vcf	266.803545 seconds
