"chromosome_name","external_gene_name","entrezgene_id","start_position","end_position","NSNPS","NPARAM","N","ZSTAT","P_MULTI","P_SNPWISE_MEAN","P_SNPWISE_TOP1","q.BH"
17,"UTS2R",2837,80332153,80333462,179,17,4338,3.8867,5.0809e-05,0.0001404,0.00059824,0.5878303125
20,"ZNF831",128611,57766075,57834168,341,34,4338,3.7144,0.00010183,0.0002577,0.0022063,0.5878303125
7,"ZNF853",54753,6655248,6663921,161,20,4338,3.612,0.00015194,0.00014686,0.0050311,0.5878303125
8,"STAU2",27067,74332604,74659943,1044,73,4338,3.5579,0.00018695,0.0092716,0.00017725,0.5878303125
8,"UBE2W",55284,74692332,74791145,208,32,4338,3.5463,0.00019536,0.0245,6.1631e-05,0.5878303125
1,"QSOX1",5768,180123969,180173165,350,37,4338,3.5181,0.00021732,0.00048052,0.0011984,0.5878303125
1,"FCRL1",115350,157764193,157789895,74,26,4338,3.4478,0.00028256,0.0037248,0.00046059,0.5878303125
17,"TEX19",400629,80317123,80321652,160,16,4338,3.4023,0.00033412,0.00081731,0.0016421,0.5878303125
4,"PTTG2",10744,37962056,37962746,126,22,4338,3.3949,0.00034332,0.00035741,0.0029087,0.5878303125
7,"C7orf26",79034,6629648,6648357,180,21,4338,3.3426,0.00041496,0.00048563,0.0054927,0.5878303125
10,"DLG5",9231,79550549,79686378,421,36,4338,3.2643,0.00054868,0.0021315,0.0026688,0.5878303125
2,"TTN",7273,179390716,179695529,584,51,4338,3.2475,0.00058219,0.0016486,0.0017336,0.5878303125
14,"PAPOLA",10914,96967770,97033448,176,27,4338,3.2423,0.00059294,0.0019316,0.0038875,0.5878303125
7,"YAE1D1",57002,39605975,39649919,291,38,4338,3.2109,0.00066149,0.00014834,0.03119,0.5878303125
20,"SSTR4",6754,23016057,23017314,163,21,4338,3.2076,0.0006692,0.0012948,0.0028,0.5878303125
17,"SECTM1",6398,80278900,80291950,191,21,4338,3.2055,0.00067414,0.0014217,0.0046228,0.5878303125
3,"CELSR3",1951,48673902,48700348,88,14,4338,3.1932,0.00070364,0.0017019,0.0049894,0.5878303125
6,"HMGCLL1",54511,55299167,55444012,778,54,4338,3.1866,0.00071984,0.011705,0.00071878,0.5878303125
17,"CD7",924,80272744,80275478,159,19,4338,3.1859,0.00072162,0.0014644,0.0040459,0.5878303125
1,"CD5L",922,157800704,157868046,116,18,4338,3.1832,0.00072828,0.0053928,0.001818,0.5878303125
12,"TUBA1C",84790,49582519,49667114,150,26,4338,3.1656,0.00077373,0.0016113,0.0017162,0.5878303125
13,"FLT3",2322,28577411,28674729,377,33,4338,3.149,0.00081925,0.0022605,0.0045202,0.5878303125
1,"SRRM1",10250,24958207,24999758,98,19,4338,3.1342,0.00086157,0.0021644,0.0039969,0.5878303125
7,"ZNF12",7559,6728064,6746554,207,21,4338,3.1334,0.00086411,0.0074127,0.00065664,0.5878303125
12,"TUBA1A",7846,49578579,49583107,49,15,4338,3.1206,0.00090249,0.0017073,0.0019311,0.5878303125
3,"UQCRC1",7384,48636435,48648409,50,14,4338,3.1052,0.00095077,0.0013641,0.0062121,0.5878303125
