Checking the headers and starting positions of 22 files
Concatenating EAC_chr1_clean.recode.vcf	715.527086 seconds
Concatenating EAC_chr2_clean.recode.vcf	754.876404 seconds
Concatenating EAC_chr3_clean.recode.vcf	639.633363 seconds
Concatenating EAC_chr4_clean.recode.vcf	689.103145 seconds
Concatenating EAC_chr5_clean.recode.vcf	592.722676 seconds
Concatenating EAC_chr6_clean.recode.vcf	620.841793 seconds
Concatenating EAC_chr7_clean.recode.vcf	580.734669 seconds
Concatenating EAC_chr8_clean.recode.vcf	497.385355 seconds
Concatenating EAC_chr9_clean.recode.vcf	390.334196 seconds
Concatenating EAC_chr10_clean.recode.vcf	455.741102 seconds
Concatenating EAC_chr11_clean.recode.vcf	436.975054 seconds
Concatenating EAC_chr12_clean.recode.vcf	413.031912 seconds
Concatenating EAC_chr13_clean.recode.vcf	359.003623 seconds
Concatenating EAC_chr14_clean.recode.vcf	291.255038 seconds
Concatenating EAC_chr15_clean.recode.vcf	283.595550 seconds
Concatenating EAC_chr16_clean.recode.vcf	297.170737 seconds
Concatenating EAC_chr17_clean.recode.vcf	262.306415 seconds
Concatenating EAC_chr18_clean.recode.vcf	269.308075 seconds
Concatenating EAC_chr19_clean.recode.vcf	232.696342 seconds
Concatenating EAC_chr20_clean.recode.vcf	215.777291 seconds
Concatenating EAC_chr21_clean.recode.vcf	139.862755 seconds
Concatenating EAC_chr22_clean.recode.vcf	151.268921 seconds
Checking the headers and starting positions of 22 files
Concatenating PEAC_chr1_clean.recode.vcf	206.025835 seconds
Concatenating PEAC_chr2_clean.recode.vcf	215.435148 seconds
Concatenating PEAC_chr3_clean.recode.vcf	188.030156 seconds
Concatenating PEAC_chr4_clean.recode.vcf	186.993182 seconds
Concatenating PEAC_chr5_clean.recode.vcf	170.962654 seconds
Concatenating PEAC_chr6_clean.recode.vcf	176.255678 seconds
Concatenating PEAC_chr7_clean.recode.vcf	154.231863 seconds
Concatenating PEAC_chr8_clean.recode.vcf	148.005505 seconds
Concatenating PEAC_chr9_clean.recode.vcf	117.906842 seconds
Concatenating PEAC_chr10_clean.recode.vcf	135.539545 seconds
Concatenating PEAC_chr11_clean.recode.vcf	131.973483 seconds
Concatenating PEAC_chr12_clean.recode.vcf	119.600816 seconds
Concatenating PEAC_chr13_clean.recode.vcf	105.422518 seconds
Concatenating PEAC_chr14_clean.recode.vcf	82.202596 seconds
Concatenating PEAC_chr15_clean.recode.vcf	80.057543 seconds
Concatenating PEAC_chr16_clean.recode.vcf	89.877264 seconds
Concatenating PEAC_chr17_clean.recode.vcf	86.921852 seconds
Concatenating PEAC_chr18_clean.recode.vcf	81.079016 seconds
Concatenating PEAC_chr19_clean.recode.vcf	70.280244 seconds
Concatenating PEAC_chr20_clean.recode.vcf	73.206391 seconds
Concatenating PEAC_chr21_clean.recode.vcf	45.937870 seconds
Concatenating PEAC_chr22_clean.recode.vcf	40.647272 seconds
