PEAC_chr1.bed PEAC_chr1.bim PEAC_chr1.fam
PEAC_chr2.bed PEAC_chr2.bim PEAC_chr2.fam
PEAC_chr3.bed PEAC_chr3.bim PEAC_chr3.fam
PEAC_chr4.bed PEAC_chr4.bim PEAC_chr4.fam
PEAC_chr5.bed PEAC_chr5.bim PEAC_chr5.fam
PEAC_chr6.bed PEAC_chr6.bim PEAC_chr6.fam
PEAC_chr7.bed PEAC_chr7.bim PEAC_chr7.fam
PEAC_chr8.bed PEAC_chr8.bim PEAC_chr8.fam
PEAC_chr9.bed PEAC_chr9.bim PEAC_chr9.fam
PEAC_chr10.bed PEAC_chr10.bim PEAC_chr10.fam
PEAC_chr11.bed PEAC_chr11.bim PEAC_chr11.fam
PEAC_chr12.bed PEAC_chr12.bim PEAC_chr12.fam
PEAC_chr13.bed PEAC_chr13.bim PEAC_chr13.fam
PEAC_chr14.bed PEAC_chr14.bim PEAC_chr14.fam
PEAC_chr15.bed PEAC_chr15.bim PEAC_chr15.fam
PEAC_chr16.bed PEAC_chr16.bim PEAC_chr16.fam
PEAC_chr17.bed PEAC_chr17.bim PEAC_chr17.fam
PEAC_chr18.bed PEAC_chr18.bim PEAC_chr18.fam
PEAC_chr19.bed PEAC_chr19.bim PEAC_chr19.fam
PEAC_chr20.bed PEAC_chr20.bim PEAC_chr20.fam
PEAC_chr21.bed PEAC_chr21.bim PEAC_chr21.fam
PEAC_chr22.bed PEAC_chr22.bim PEAC_chr22.fam
