Checking the headers and starting positions of 22 files
Concatenating sera_chr1_clean.recode.vcf	386.844450 seconds
Concatenating sera_chr2_clean.recode.vcf	401.652295 seconds
Concatenating sera_chr3_clean.recode.vcf	334.346516 seconds
Concatenating sera_chr4_clean.recode.vcf	348.491677 seconds
Concatenating sera_chr5_clean.recode.vcf	305.699534 seconds
Concatenating sera_chr6_clean.recode.vcf	311.456345 seconds
Concatenating sera_chr7_clean.recode.vcf	292.224223 seconds
Concatenating sera_chr8_clean.recode.vcf	260.056042 seconds
Concatenating sera_chr9_clean.recode.vcf	229.776573 seconds
Concatenating sera_chr10_clean.recode.vcf	263.654133 seconds
Concatenating sera_chr11_clean.recode.vcf	260.152321 seconds
Concatenating sera_chr12_clean.recode.vcf	235.820130 seconds
Concatenating sera_chr13_clean.recode.vcf	182.431606 seconds
Concatenating sera_chr14_clean.recode.vcf	159.888478 seconds
Concatenating sera_chr15_clean.recode.vcf	148.978900 seconds
Concatenating sera_chr16_clean.recode.vcf	178.934170 seconds
Concatenating sera_chr17_clean.recode.vcf	150.532708 seconds
Concatenating sera_chr18_clean.recode.vcf	154.630096 seconds
Concatenating sera_chr19_clean.recode.vcf	130.301005 seconds
Concatenating sera_chr20_clean.recode.vcf	122.179505 seconds
Concatenating sera_chr21_clean.recode.vcf	77.874933 seconds
Concatenating sera_chr22_clean.recode.vcf	76.833929 seconds
Checking the headers and starting positions of 22 files
Concatenating vienna_chr1_clean.recode.vcf	248.502569 seconds
Concatenating vienna_chr2_clean.recode.vcf	251.088356 seconds
Concatenating vienna_chr3_clean.recode.vcf	217.116909 seconds
Concatenating vienna_chr4_clean.recode.vcf	211.870018 seconds
Concatenating vienna_chr5_clean.recode.vcf	206.610925 seconds
Concatenating vienna_chr6_clean.recode.vcf	204.155789 seconds
Concatenating vienna_chr7_clean.recode.vcf	184.982516 seconds
Concatenating vienna_chr8_clean.recode.vcf	172.211305 seconds
Concatenating vienna_chr9_clean.recode.vcf	130.337580 seconds
Concatenating vienna_chr10_clean.recode.vcf	156.408783 seconds
Concatenating vienna_chr11_clean.recode.vcf	147.476923 seconds
Concatenating vienna_chr12_clean.recode.vcf	153.285364 seconds
Concatenating vienna_chr13_clean.recode.vcf	110.911127 seconds
Concatenating vienna_chr14_clean.recode.vcf	105.711140 seconds
Concatenating vienna_chr15_clean.recode.vcf	92.935791 seconds
Concatenating vienna_chr16_clean.recode.vcf	99.554986 seconds
Concatenating vienna_chr17_clean.recode.vcf	98.803397 seconds
Concatenating vienna_chr18_clean.recode.vcf	89.595318 seconds
Concatenating vienna_chr19_clean.recode.vcf	78.257200 seconds
Concatenating vienna_chr20_clean.recode.vcf	75.468802 seconds
Concatenating vienna_chr21_clean.recode.vcf	54.374620 seconds
Concatenating vienna_chr22_clean.recode.vcf	48.461917 seconds
